CustomerID,InvoiceDate,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,Segment
12346.0,2011-01-18 10:17:00,326,2,0.0,1,1,1,111,3,Lost Customers
12347.0,2011-12-07 15:52:00,2,182,4310.0,5,5,5,555,15,Best Customers
12348.0,2011-09-25 13:13:00,75,31,1797.24,2,3,4,234,9,Needs Attention
12349.0,2011-11-21 09:51:00,19,73,1757.55,4,4,4,444,12,Best Customers
12350.0,2011-02-02 16:01:00,310,17,334.4,1,2,2,122,5,Lost Customers
12352.0,2011-11-03 14:37:00,36,95,1545.41,3,4,4,344,11,Loyal Customers
12353.0,2011-05-19 17:47:00,204,4,89.0,1,1,1,111,3,Lost Customers
12354.0,2011-04-21 13:11:00,232,58,1079.4,1,3,4,134,8,Needs Attention
12355.0,2011-05-09 13:49:00,214,13,459.4,1,1,2,112,4,Lost Customers
12356.0,2011-11-17 08:40:00,23,59,2811.43,4,4,5,445,13,Best Customers
12357.0,2011-11-06 16:07:00,33,131,6207.67,3,5,5,355,13,Loyal Customers
12358.0,2011-12-08 10:26:00,2,19,1168.06,5,2,4,524,11,New Customers
12359.0,2011-12-02 11:21:00,8,254,6245.53,5,5,5,555,15,Best Customers
12360.0,2011-10-18 15:22:00,52,129,2662.06,3,5,5,355,13,Loyal Customers
12361.0,2011-02-25 13:51:00,287,10,189.9,1,1,1,111,3,Lost Customers
12362.0,2011-12-06 15:40:00,3,274,5154.58,5,5,5,555,15,Best Customers
12363.0,2011-08-22 10:18:00,110,23,552.0,2,2,3,223,7,Needs Attention
12364.0,2011-12-02 10:22:00,8,85,1313.1,5,4,4,544,13,Best Customers
12365.0,2011-02-21 14:04:00,291,23,320.69,1,2,2,122,5,Lost Customers
12367.0,2011-12-05 16:48:00,4,11,168.9,5,1,1,511,7,New Customers
12370.0,2011-10-19 14:51:00,51,167,3545.69,3,5,5,355,13,Loyal Customers
12371.0,2011-10-26 10:16:00,45,63,1887.96,3,4,4,344,11,Loyal Customers
12372.0,2011-09-29 12:12:00,72,52,1298.04,2,3,4,234,9,Needs Attention
12373.0,2011-02-01 13:10:00,311,14,364.6,1,1,2,112,4,Lost Customers
